Speaker,Gender,Vowel,Duration,f0,F1,F2
1,m,ae,323,174,663,2012
2,m,ae,250,102,628,1871
3,m,ae,344,99,605,1812
4,m,ae,312,124,627,1910
6,m,ae,254,115,647,1864
7,m,ae,254,96,582,1999
8,m,ae,289,122,602,1880
9,m,ae,339,120,545,1872
10,m,ae,282,153,552,2027
11,m,ae,319,136,629,1871
13,m,ae,279,100,685,1807
14,m,ae,272,106,559,1983
16,m,ae,212,138,544,1819
17,m,ae,257,135,685,1592
18,m,ae,264,133,514,2031
19,m,ae,244,149,612,1937
20,m,ae,286,140,544,2114
21,m,ae,252,108,556,1854
22,m,ae,249,119,619,2023
23,m,ae,274,112,601,1997
24,m,ae,270,120,572,2072
25,m,ae,301,115,546,1820
26,m,ae,259,120,562,1895
27,m,ae,257,105,594,2000
28,m,ae,212,131,662,1934
29,m,ae,241,114,566,2041
30,m,ae,302,96,559,1873
31,m,ae,208,143,579,1982
32,m,ae,208,149,623,1937
33,m,ae,328,136,555,1996
34,m,ae,267,129,555,1849
35,m,ae,326,110,634,1730
36,m,ae,270,121,570,1856
37,m,ae,207,130,614,1768
38,m,ae,213,131,553,2140
39,m,ae,311,153,605,2002
40,m,ae,273,140,597,1989
41,m,ae,230,139,561,1772
42,m,ae,334,128,615,1885
44,m,ae,276,98,577,1952
45,m,ae,283,187,629,2436
47,m,ae,292,129,511,1811
48,m,ae,245,119,590,1830
49,m,ae,266,123,622,1957
50,m,ae,289,116,565,2055
51,w,ae,305,225,678,2293
52,w,ae,486,214,624,2442
53,w,ae,293,192,666,2370
54,w,ae,353,233,743,2230
55,w,ae,338,223,677,2320
56,w,ae,362,223,627,2266
57,w,ae,313,176,690,2327
58,w,ae,284,238,658,2650
59,w,ae,253,251,685,2299
60,w,ae,356,227,621,2249
61,w,ae,385,188,868,2004
62,w,ae,355,229,682,2486
63,w,ae,315,237,668,2252
64,w,ae,272,214,726,2350
65,w,ae,400,226,620,2316
66,w,ae,356,202,634,2596
67,w,ae,323,212,672,2145
69,w,ae,363,237,698,2339
70,w,ae,307,187,586,2299
71,w,ae,382,217,616,2156
72,w,ae,338,186,576,2429
73,w,ae,365,213,674,2256
74,w,ae,331,248,738,2378
75,w,ae,461,220,646,2406
76,w,ae,346,168,746,1944
77,w,ae,272,246,734,2518
78,w,ae,260,225,662,2276
79,w,ae,333,238,696,2447
80,w,ae,310,238,687,2378
81,w,ae,364,205,645,2154
82,w,ae,239,208,626,2374
83,w,ae,261,235,689,2701
84,w,ae,277,218,557,2586
85,w,ae,328,211,668,2296
86,w,ae,413,200,746,2371
87,w,ae,405,192,893,2070
88,w,ae,294,219,665,2408
89,w,ae,365,192,564,2442
90,w,ae,301,197,714,2254
91,w,ae,301,216,625,2594
92,w,ae,312,222,552,2227
94,w,ae,353,230,685,2205
95,w,ae,333,208,657,2192
96,w,ae,365,156,649,2508
97,w,ae,327,211,817,2102
98,w,ae,310,210,626,2331
99,w,ae,319,209,706,2400
100,w,ae,357,209,751,2432
1,b,ae,257,238,630,2423
2,b,ae,359,286,829,2495
3,b,ae,335,214,631,2801
4,b,ae,398,239,712,2608
5,b,ae,267,200,748,2589
7,b,ae,323,262,769,2203
8,b,ae,316,216,870,2281
9,b,ae,245,220,709,2565
10,b,ae,396,205,634,2555
11,b,ae,298,209,630,2509
12,b,ae,415,252,736,2505
13,b,ae,281,216,634,2535
14,b,ae,314,198,697,2418
15,b,ae,382,272,607,2620
16,b,ae,367,187,753,2227
17,b,ae,352,246,726,2231
18,b,ae,307,249,741,2444
19,b,ae,312,209,674,2663
21,b,ae,352,205,769,2234
22,b,ae,256,229,678,2524
23,b,ae,346,267,809,2592
24,b,ae,216,206,545,2690
25,b,ae,284,223,669,2440
26,b,ae,451,220,643,2434
27,b,ae,243,211,634,2410
28,b,ae,284,227,676,2253
29,b,ae,291,212,860,2503
1,g,ae,295,242,741,2433
2,g,ae,283,196,729,2878
4,g,ae,385,255,932,2523
5,g,ae,456,227,682,2638
6,g,ae,292,222,799,2397
7,g,ae,341,242,722,2418
8,g,ae,384,266,695,2704
9,g,ae,382,265,758,2373
10,g,ae,311,237,946,2540
11,g,ae,353,230,648,2334
12,g,ae,322,240,730,2668
13,g,ae,301,251,752,2501
14,g,ae,306,194,717,2313
15,g,ae,354,226,888,2605
17,g,ae,308,208,727,2394
18,g,ae,317,219,591,2632
19,g,ae,238,248,747,2703
20,g,ae,290,227,672,2484
21,g,ae,250,227,555,2569
1,m,ah,316,159,813,1283
2,m,ah,249,101,749,1060
3,m,ah,373,97,755,1133
4,m,ah,302,127,832,1222
6,m,ah,230,112,871,1204
7,m,ah,265,98,786,1341
8,m,ah,302,115,748,1293
9,m,ah,330,122,738,1394
10,m,ah,271,152,763,1147
11,m,ah,321,148,829,1444
13,m,ah,256,104,825,1429
14,m,ah,278,100,737,1298
16,m,ah,192,145,679,1208
17,m,ah,243,132,689,1064
18,m,ah,342,135,702,1364
19,m,ah,269,148,811,1355
20,m,ah,272,135,744,1489
21,m,ah,206,114,758,1363
22,m,ah,287,115,784,1345
23,m,ah,278,107,802,1297
24,m,ah,258,131,803,1234
25,m,ah,256,116,683,1238
26,m,ah,271,124,697,1370
27,m,ah,212,106,743,1423
28,m,ah,154,173,710,1084
29,m,ah,220,123,825,1438
30,m,ah,290,101,673,1301
31,m,ah,184,160,707,1421
32,m,ah,216,146,697,1293
33,m,ah,272,135,816,1361
34,m,ah,250,115,722,1411
35,m,ah,269,109,748,1274
36,m,ah,252,116,744,1388
37,m,ah,219,127,700,1295
38,m,ah,192,148,705,1323
39,m,ah,287,139,963,1524
40,m,ah,254,126,711,1428
41,m,ah,213,138,712,1325
42,m,ah,292,140,821,1283
44,m,ah,286,101,822,1315
45,m,ah,285,180,753,1200
47,m,ah,301,120,662,1183
48,m,ah,207,122,682,1259
49,m,ah,270,124,818,1315
50,m,ah,250,110,710,1483
51,w,ah,265,211,1012,1603
52,w,ah,443,209,883,1682
53,w,ah,257,192,1025,1548
54,w,ah,350,216,804,1484
55,w,ah,365,226,935,1377
56,w,ah,329,211,804,1363
57,w,ah,306,173,939,1233
58,w,ah,317,243,827,1701
59,w,ah,282,240,913,1436
60,w,ah,367,223,856,1540
61,w,ah,380,191,882,1380
62,w,ah,343,216,887,1743
63,w,ah,329,226,869,1495
64,w,ah,275,211,994,1609
65,w,ah,340,226,955,1615
66,w,ah,305,189,1085,1687
67,w,ah,267,205,937,1623
69,w,ah,316,239,918,1640
70,w,ah,365,193,818,1351
71,w,ah,402,216,769,1451
72,w,ah,350,178,1008,1495
73,w,ah,329,207,905,1514
74,w,ah,303,259,1063,1680
75,w,ah,430,212,1053,1677
76,w,ah,333,170,798,1351
77,w,ah,284,250,869,1751
78,w,ah,217,235,863,1538
79,w,ah,303,248,938,1462
80,w,ah,293,232,957,1591
81,w,ah,315,202,827,1543
82,w,ah,240,213,708,1547
83,w,ah,283,241,1163,1685
84,w,ah,247,211,1011,1541
85,w,ah,310,201,1035,1486
86,w,ah,455,208,952,1676
87,w,ah,419,175,810,1314
88,w,ah,336,217,993,1671
89,w,ah,338,212,931,1348
90,w,ah,297,198,822,1371
91,w,ah,298,200,875,1491
92,w,ah,268,226,884,1568
94,w,ah,340,212,938,1492
95,w,ah,312,195,914,1383
96,w,ah,334,150,901,1509
97,w,ah,302,207,975,1534
98,w,ah,346,218,796,1502
99,w,ah,326,224,1145,0
100,w,ah,357,234,968,1433
1,b,ah,212,241,831,1676
2,b,ah,328,276,1020,1555
3,b,ah,298,214,982,1823
4,b,ah,357,250,932,1874
5,b,ah,270,227,1052,1659
7,b,ah,294,308,881,1543
8,b,ah,340,202,762,1604
9,b,ah,285,230,987,1610
10,b,ah,413,209,1123,1640
11,b,ah,282,203,832,1602
12,b,ah,425,258,968,1808
13,b,ah,273,211,933,1694
14,b,ah,263,201,998,1560
15,b,ah,340,287,871,2042
16,b,ah,364,187,859,0
17,b,ah,327,245,898,1544
18,b,ah,281,254,1010,1705
19,b,ah,292,218,951,1982
21,b,ah,363,226,1010,1604
22,b,ah,350,263,854,1518
23,b,ah,292,277,1119,1588
24,b,ah,238,228,1205,0
25,b,ah,295,220,872,1565
26,b,ah,314,210,776,1490
27,b,ah,270,223,1147,1553
28,b,ah,271,221,1065,1483
29,b,ah,285,227,944,1540
1,g,ah,276,238,894,1420
2,g,ah,298,208,1312,1820
4,g,ah,324,246,1007,1742
5,g,ah,375,204,978,1817
6,g,ah,275,225,1026,1544
7,g,ah,384,227,843,1803
8,g,ah,407,249,993,2000
9,g,ah,321,245,1197,1734
10,g,ah,282,218,855,1845
11,g,ah,298,240,1047,1488
12,g,ah,317,200,1154,1932
13,g,ah,334,241,931,1749
14,g,ah,308,189,954,1472
15,g,ah,299,233,1316,1752
17,g,ah,304,248,911,1624
18,g,ah,416,214,1033,1929
19,g,ah,220,235,1129,2005
20,g,ah,259,234,1145,1655
21,g,ah,186,215,1021,1720
1,m,aw,330,177,699,996
2,m,aw,289,106,644,856
3,m,aw,355,93,647,926
4,m,aw,347,131,694,970
6,m,aw,250,115,740,999
7,m,aw,292,96,642,949
8,m,aw,294,120,651,1033
9,m,aw,342,123,620,1068
10,m,aw,296,151,637,923
11,m,aw,363,162,695,1108
13,m,aw,283,104,664,1024
14,m,aw,248,108,664,1043
16,m,aw,223,142,628,1069
17,m,aw,278,142,634,987
18,m,aw,320,146,662,1001
19,m,aw,274,154,653,1020
20,m,aw,287,138,648,1013
21,m,aw,253,107,631,1019
22,m,aw,316,120,688,1139
23,m,aw,292,111,696,983
24,m,aw,248,127,691,1111
25,m,aw,249,109,587,941
26,m,aw,282,111,636,978
27,m,aw,171,103,686,1064
28,m,aw,222,122,681,1060
29,m,aw,226,117,720,1063
30,m,aw,344,92,619,1012
31,m,aw,196,155,640,1149
32,m,aw,195,144,633,995
33,m,aw,268,133,649,1048
34,m,aw,239,116,623,1012
35,m,aw,304,106,645,1049
36,m,aw,300,112,645,1063
37,m,aw,202,130,606,991
38,m,aw,229,142,636,1108
39,m,aw,196,124,670,919
40,m,aw,281,131,631,1167
41,m,aw,249,134,687,1062
42,m,aw,328,131,684,1000
44,m,aw,301,100,684,1001
45,m,aw,293,184,704,1052
47,m,aw,300,121,591,974
48,m,aw,242,118,611,1067
49,m,aw,293,121,643,931
50,m,aw,277,109,679,1102
51,w,aw,305,218,815,1200
52,w,aw,464,211,760,1225
53,w,aw,326,186,772,1051
54,w,aw,379,203,770,1245
55,w,aw,363,231,923,1368
56,w,aw,363,212,778,1220
57,w,aw,314,167,809,1097
58,w,aw,320,242,815,1426
59,w,aw,309,241,890,1063
60,w,aw,416,225,771,1170
61,w,aw,380,197,755,1114
62,w,aw,397,227,930,1422
63,w,aw,363,234,697,1142
64,w,aw,266,223,748,1063
65,w,aw,394,229,827,1189
66,w,aw,342,201,847,1192
67,w,aw,341,211,794,1185
69,w,aw,327,241,848,1175
70,w,aw,344,185,713,1132
71,w,aw,465,226,698,1127
72,w,aw,318,191,736,1120
73,w,aw,362,209,835,1326
74,w,aw,366,247,907,1527
75,w,aw,414,205,811,1254
76,w,aw,378,180,656,1075
77,w,aw,284,244,890,1292
78,w,aw,262,217,860,1504
79,w,aw,327,212,740,1037
80,w,aw,319,233,867,1207
81,w,aw,384,194,776,1324
82,w,aw,287,226,699,1104
83,w,aw,328,241,906,1386
84,w,aw,253,210,814,1144
85,w,aw,331,207,801,1187
86,w,aw,422,213,822,1177
87,w,aw,413,196,851,1105
88,w,aw,327,219,825,1213
89,w,aw,369,211,752,1101
90,w,aw,303,200,765,997
91,w,aw,332,198,957,0
92,w,aw,387,237,799,1146
94,w,aw,390,222,715,963
95,w,aw,351,196,790,1044
96,w,aw,396,162,850,1182
97,w,aw,310,206,813,1117
98,w,aw,355,221,736,1098
99,w,aw,318,219,677,1054
100,w,aw,361,246,995,1359
1,b,aw,242,247,725,1384
2,b,aw,327,263,802,1287
3,b,aw,334,207,805,1299
4,b,aw,304,244,817,1329
5,b,aw,236,199,780,1236
7,b,aw,378,301,891,1383
8,b,aw,353,207,610,993
9,b,aw,313,238,845,1111
10,b,aw,316,208,695,1288
11,b,aw,331,194,761,1310
12,b,aw,369,251,985,1630
13,b,aw,322,210,875,1402
14,b,aw,243,206,950,1246
15,b,aw,312,258,750,1251
16,b,aw,367,201,819,1074
17,b,aw,315,264,744,1093
18,b,aw,269,249,808,1467
19,b,aw,294,222,820,1356
21,b,aw,376,240,831,0
22,b,aw,384,249,746,1309
23,b,aw,313,268,765,1067
24,b,aw,196,203,770,1010
25,b,aw,340,213,839,1240
26,b,aw,362,220,635,1163
27,b,aw,250,215,792,1268
28,b,aw,267,216,640,929
29,b,aw,305,214,941,1409
1,g,aw,349,240,867,1292
2,g,aw,249,217,875,1501
4,g,aw,430,244,885,1415
5,g,aw,368,210,882,1309
6,g,aw,300,224,888,1266
7,g,aw,342,233,697,1358
8,g,aw,377,270,787,1234
9,g,aw,425,301,932,1445
10,g,aw,285,226,893,1563
11,g,aw,380,232,898,1359
12,g,aw,323,241,952,1665
13,g,aw,339,234,823,1356
14,g,aw,332,214,854,1109
15,g,aw,360,239,894,1366
17,g,aw,291,233,757,1242
18,g,aw,441,215,1062,0
19,g,aw,218,221,1090,1465
20,g,aw,274,246,998,1368
21,g,aw,259,218,1001,1488
1,m,eh,266,171,609,1980
2,m,eh,167,103,517,1917
3,m,eh,284,95,559,1695
4,m,eh,229,127,698,1580
6,m,eh,177,115,555,1851
7,m,eh,197,104,571,1926
8,m,eh,239,126,582,1768
9,m,eh,239,120,560,1697
10,m,eh,186,154,594,1716
11,m,eh,261,146,569,1709
13,m,eh,203,99,577,1811
14,m,eh,231,110,570,1824
16,m,eh,156,144,546,1750
17,m,eh,181,138,554,1790
18,m,eh,170,131,608,1831
19,m,eh,185,151,562,1816
20,m,eh,199,137,583,1757
21,m,eh,138,128,615,1624
22,m,eh,184,122,630,1786
23,m,eh,227,111,629,1810
24,m,eh,153,119,624,1909
25,m,eh,190,109,559,1755
26,m,eh,207,114,609,1675
27,m,eh,215,104,634,1874
28,m,eh,125,128,636,1893
29,m,eh,177,118,620,1832
30,m,eh,197,98,565,1805
31,m,eh,146,146,571,1752
32,m,eh,166,149,608,1871
33,m,eh,205,131,567,1718
34,m,eh,185,121,541,1743
35,m,eh,244,112,543,1840
36,m,eh,217,114,579,1866
37,m,eh,139,130,568,1687
38,m,eh,158,135,583,1760
39,m,eh,201,150,641,1814
40,m,eh,204,138,623,1937
41,m,eh,188,137,562,1591
42,m,eh,207,161,622,1799
44,m,eh,200,98,561,1786
45,m,eh,200,187,723,2208
47,m,eh,209,127,534,1608
48,m,eh,198,124,574,1813
49,m,eh,172,114,557,1996
50,m,eh,178,115,565,1952
51,w,eh,217,228,734,1893
52,w,eh,432,197,740,2186
53,w,eh,202,218,707,2110
54,w,eh,315,216,693,1991
55,w,eh,260,233,743,1981
56,w,eh,280,211,712,1881
57,w,eh,238,198,734,2141
58,w,eh,199,244,732,2189
59,w,eh,233,246,710,2138
60,w,eh,271,227,704,2023
61,w,eh,317,195,766,1922
62,w,eh,234,210,673,2389
63,w,eh,231,214,651,2157
64,w,eh,241,226,817,2242
65,w,eh,217,222,684,1992
66,w,eh,253,197,756,2008
67,w,eh,188,216,750,1935
69,w,eh,317,238,706,1986
70,w,eh,263,173,717,2256
71,w,eh,281,233,727,1871
72,w,eh,239,180,584,2175
73,w,eh,294,210,762,1902
74,w,eh,231,251,981,2075
75,w,eh,386,211,794,2046
76,w,eh,183,195,620,2071
77,w,eh,236,244,741,1997
78,w,eh,177,223,693,2012
79,w,eh,193,203,597,2426
80,w,eh,221,244,886,2186
81,w,eh,248,214,588,2130
82,w,eh,191,189,755,1762
83,w,eh,194,236,885,2322
84,w,eh,179,214,804,1998
85,w,eh,223,202,718,2005
86,w,eh,368,205,773,2042
87,w,eh,343,191,694,2160
88,w,eh,268,210,680,2068
89,w,eh,259,193,694,2052
90,w,eh,237,185,726,2123
91,w,eh,203,217,714,2255
92,w,eh,250,209,623,1882
94,w,eh,255,221,718,1952
95,w,eh,247,198,758,2091
96,w,eh,284,168,676,2196
97,w,eh,244,217,770,1866
98,w,eh,244,213,683,1851
99,w,eh,221,222,709,2088
100,w,eh,270,219,817,1984
1,b,eh,184,214,713,2095
2,b,eh,195,284,674,2196
3,b,eh,260,191,735,2315
4,b,eh,364,245,735,2448
5,b,eh,207,219,787,2176
7,b,eh,272,297,867,2054
8,b,eh,135,205,605,2445
9,b,eh,193,238,699,2202
10,b,eh,234,218,646,2435
11,b,eh,282,214,794,2066
12,b,eh,363,249,742,2355
13,b,eh,258,227,640,2244
14,b,eh,168,200,806,2172
15,b,eh,312,279,734,2242
16,b,eh,291,202,616,2356
17,b,eh,189,241,749,1869
18,b,eh,195,241,710,1993
19,b,eh,227,203,632,2431
21,b,eh,274,204,642,2015
22,b,eh,212,242,699,2169
23,b,eh,238,270,1057,2426
24,b,eh,165,212,744,2227
25,b,eh,215,232,692,2354
26,b,eh,331,217,668,2106
27,b,eh,192,231,699,2194
28,b,eh,210,221,680,2187
29,b,eh,212,231,856,2304
1,g,eh,202,227,653,2241
2,g,eh,218,188,928,2254
4,g,eh,277,245,802,2427
5,g,eh,328,226,809,2265
6,g,eh,174,222,660,2223
7,g,eh,284,230,649,2268
8,g,eh,294,244,741,2418
9,g,eh,292,238,763,2393
10,g,eh,278,227,816,2404
11,g,eh,227,226,793,2228
12,g,eh,250,236,762,2349
13,g,eh,250,263,759,2488
14,g,eh,297,211,621,2275
15,g,eh,266,226,880,2638
17,g,eh,204,249,755,2137
18,g,eh,258,205,533,2480
19,g,eh,222,229,868,2318
20,g,eh,228,228,882,2524
21,g,eh,227,230,733,2421
1,m,ei,319,166,494,2113
2,m,ei,261,105,438,2196
3,m,ei,353,91,438,2026
4,m,ei,253,134,493,2102
6,m,ei,241,120,497,2024
7,m,ei,281,100,555,2174
8,m,ei,328,133,529,1974
9,m,ei,318,122,446,1918
10,m,ei,273,151,439,2067
11,m,ei,360,141,433,2082
13,m,ei,243,95,439,2126
14,m,ei,256,109,495,2166
16,m,ei,218,143,482,1904
17,m,ei,259,148,435,2013
18,m,ei,338,151,445,2268
19,m,ei,246,156,492,2195
20,m,ei,237,141,535,2004
21,m,ei,196,126,382,2035
22,m,ei,251,121,499,2068
23,m,ei,311,116,477,2110
24,m,ei,274,131,529,2114
25,m,ei,267,112,494,1962
26,m,ei,262,113,504,1878
27,m,ei,252,115,472,2141
28,m,ei,231,124,490,2187
29,m,ei,211,139,393,2305
30,m,ei,338,94,374,2436
31,m,ei,239,158,444,2121
32,m,ei,219,148,500,2159
33,m,ei,311,142,480,2100
34,m,ei,261,116,469,2035
35,m,ei,312,108,438,2003
36,m,ei,269,121,478,2049
37,m,ei,193,140,497,1903
38,m,ei,255,155,477,2073
39,m,ei,286,151,440,2245
40,m,ei,230,142,502,2025
41,m,ei,217,139,501,1944
42,m,ei,319,138,549,1921
44,m,ei,269,101,497,2083
45,m,ei,255,181,537,2493
47,m,ei,282,123,482,1804
48,m,ei,247,120,501,2042
49,m,ei,229,138,441,2348
50,m,ei,256,109,492,2108
51,w,ei,239,227,539,2476
52,w,ei,453,220,477,2704
53,w,ei,263,208,672,2457
54,w,ei,437,226,601,2577
55,w,ei,302,241,487,2600
56,w,ei,318,214,492,2437
57,w,ei,330,186,553,2458
58,w,ei,274,238,496,2665
59,w,ei,222,265,505,2777
60,w,ei,347,220,455,2433
61,w,ei,413,214,574,2316
62,w,ei,329,238,502,2674
63,w,ei,318,236,647,2539
64,w,ei,230,206,596,2478
65,w,ei,325,244,500,2482
66,w,ei,336,207,617,2697
67,w,ei,261,210,558,2505
69,w,ei,334,244,572,2428
70,w,ei,305,203,574,2360
71,w,ei,346,238,498,2218
72,w,ei,269,166,511,2574
73,w,ei,342,211,513,2435
74,w,ei,349,263,617,2668
75,w,ei,399,212,610,2598
76,w,ei,420,171,485,2423
77,w,ei,284,243,578,2474
78,w,ei,231,234,507,2573
79,w,ei,280,246,504,2501
80,w,ei,313,245,494,2680
81,w,ei,338,212,487,2408
82,w,ei,277,215,547,2262
83,w,ei,296,247,500,2889
84,w,ei,267,211,433,2773
85,w,ei,314,215,591,2562
86,w,ei,402,211,596,2314
87,w,ei,367,193,500,2622
88,w,ei,310,224,645,2554
89,w,ei,344,198,434,2568
90,w,ei,296,202,543,2399
91,w,ei,298,214,555,2766
92,w,ei,343,232,484,2276
94,w,ei,300,217,442,2464
95,w,ei,319,205,606,2438
96,w,ei,377,160,485,2619
97,w,ei,313,218,472,2616
98,w,ei,309,224,546,2237
99,w,ei,305,214,439,2801
100,w,ei,361,252,664,2455
1,b,ei,222,230,534,2690
2,b,ei,324,277,556,2482
3,b,ei,286,201,608,2836
4,b,ei,323,252,574,2490
5,b,ei,247,215,611,2761
7,b,ei,361,320,629,2663
8,b,ei,285,223,606,2396
9,b,ei,258,235,555,2377
10,b,ei,314,197,580,2754
11,b,ei,309,210,571,2586
12,b,ei,357,260,554,2620
13,b,ei,280,242,532,2673
14,b,ei,260,203,436,2658
15,b,ei,382,262,558,2643
16,b,ei,346,193,564,2523
17,b,ei,245,250,499,2356
18,b,ei,265,257,621,2476
19,b,ei,285,222,652,2661
21,b,ei,465,232,463,2745
22,b,ei,322,250,558,2559
23,b,ei,336,271,586,2720
24,b,ei,199,212,613,2593
25,b,ei,294,219,441,2585
26,b,ei,426,233,654,2549
27,b,ei,293,239,494,2823
28,b,ei,309,239,510,2438
29,b,ei,289,236,655,2772
1,g,ei,320,243,496,2670
2,g,ei,286,211,648,2788
4,g,ei,350,266,561,2663
5,g,ei,321,220,638,2553
6,g,ei,261,225,542,2755
7,g,ei,421,242,544,2444
8,g,ei,438,257,513,2881
9,g,ei,364,258,536,2859
10,g,ei,310,236,740,2651
11,g,ei,315,240,494,2676
12,g,ei,293,262,594,2733
13,g,ei,345,258,550,2780
14,g,ei,351,222,564,2455
15,g,ei,386,237,497,2804
17,g,ei,280,258,575,2502
18,g,ei,325,209,570,3256
19,g,ei,223,234,618,2752
20,g,ei,294,249,540,2687
21,g,ei,259,235,558,2533
1,m,er,324,175,506,1418
2,m,er,296,111,457,1406
3,m,er,368,94,479,1252
4,m,er,332,134,460,1473
6,m,er,217,117,489,1338
7,m,er,272,96,493,1270
8,m,er,282,131,501,1334
9,m,er,342,137,466,1377
10,m,er,249,154,459,1367
11,m,er,340,140,438,1387
13,m,er,268,110,439,1220
14,m,er,287,106,506,1464
16,m,er,204,147,439,1387
17,m,er,256,140,429,1389
18,m,er,298,139,504,1386
19,m,er,243,154,505,1330
20,m,er,356,156,457,1437
21,m,er,185,122,463,1371
22,m,er,256,120,491,1455
23,m,er,274,117,504,1173
24,m,er,258,134,513,1342
25,m,er,260,116,474,1505
26,m,er,252,121,505,1450
27,m,er,231,116,442,1517
28,m,er,201,140,496,1500
29,m,er,206,118,453,1432
30,m,er,310,103,430,1294
31,m,er,210,146,435,1289
32,m,er,202,151,491,1370
33,m,er,270,129,477,1376
34,m,er,252,115,447,1400
35,m,er,271,112,440,1447
36,m,er,290,119,493,1428
37,m,er,212,130,478,1440
38,m,er,206,142,451,1314
39,m,er,260,138,467,1432
40,m,er,266,127,505,1447
41,m,er,214,150,461,1297
42,m,er,326,143,557,1344
44,m,er,252,105,491,1300
45,m,er,255,196,486,1372
47,m,er,259,133,443,1262
48,m,er,248,116,489,1493
49,m,er,238,156,444,1377
50,m,er,258,123,516,1399
51,w,er,300,224,470,1437
52,w,er,418,218,500,1441
53,w,er,278,182,523,1413
54,w,er,350,216,619,1716
55,w,er,317,242,494,1485
56,w,er,342,225,527,1636
57,w,er,320,174,518,1604
58,w,er,272,250,516,1983
59,w,er,261,248,503,1480
60,w,er,342,230,495,1596
61,w,er,389,195,567,1496
62,w,er,348,219,501,1555
63,w,er,275,244,531,1688
64,w,er,267,225,506,1604
65,w,er,355,234,484,1652
66,w,er,295,219,597,1588
67,w,er,308,212,491,1506
69,w,er,319,246,524,1547
70,w,er,325,175,508,1562
71,w,er,370,224,469,1499
72,w,er,279,173,505,1568
73,w,er,345,212,508,1687
74,w,er,327,262,538,1813
75,w,er,403,215,617,1565
76,w,er,340,184,522,1490
77,w,er,242,257,507,1749
78,w,er,223,238,514,1831
79,w,er,311,264,580,1407
80,w,er,332,246,557,1546
81,w,er,335,184,555,1491
82,w,er,272,212,588,1509
83,w,er,345,252,549,1749
84,w,er,240,214,461,1534
85,w,er,300,218,537,1509
86,w,er,438,206,492,1635
87,w,er,371,198,455,1769
88,w,er,303,230,656,1614
89,w,er,340,189,509,1365
90,w,er,304,207,584,1486
91,w,er,262,208,491,1655
92,w,er,331,240,482,1676
94,w,er,319,237,487,1434
95,w,er,310,204,537,1638
96,w,er,382,166,500,1637
97,w,er,327,211,456,1615
98,w,er,346,231,604,1441
99,w,er,301,176,513,1569
100,w,er,356,224,503,1766
1,b,er,227,240,608,1733
2,b,er,395,283,560,1687
3,b,er,280,199,622,1837
4,b,er,386,230,580,1990
5,b,er,228,224,573,1562
7,b,er,375,294,612,1645
8,b,er,261,208,477,1809
9,b,er,262,241,505,1691
10,b,er,326,220,620,1823
11,b,er,322,211,586,1681
12,b,er,366,263,523,1874
13,b,er,255,193,574,1751
14,b,er,283,213,619,1498
15,b,er,371,281,562,1682
16,b,er,334,200,591,1626
17,b,er,304,247,556,1741
18,b,er,304,272,559,1828
19,b,er,278,217,571,1984
21,b,er,378,247,495,1555
22,b,er,336,259,678,1594
23,b,er,332,246,614,1867
24,b,er,270,248,568,1512
25,b,er,277,227,488,1584
26,b,er,347,224,479,1579
27,b,er,251,211,615,1742
28,b,er,263,220,457,1570
29,b,er,390,250,614,1733
1,g,er,297,228,556,1687
2,g,er,258,223,620,1750
4,g,er,359,285,564,2003
5,g,er,348,223,601,1791
6,g,er,299,224,632,1689
7,g,er,365,237,585,1694
8,g,er,346,260,540,1571
9,g,er,413,286,573,1748
10,g,er,320,212,631,1722
11,g,er,296,233,671,1556
12,g,er,270,253,627,1780
13,g,er,288,273,561,1692
14,g,er,312,215,603,1663
15,g,er,331,248,707,1706
17,g,er,269,225,667,1688
